project_name,date,active_addresses_aggregation_daily,active_addresses_aggregation_monthly,active_addresses_aggregation_over_30_day_window,active_contracts_daily,active_contracts_monthly,active_contracts_weekly,active_developers_daily,active_developers_weekly,closed_issues_daily,closed_issues_monthly,closed_issues_weekly,comments_daily,comments_weekly,commits_daily,commits_weekly,contributors_daily,contributors_weekly,forks_daily,forks_weekly,gas_fees_daily,gas_fees_monthly,gas_fees_over_180_day_window,gas_fees_over_30_day_window,gas_fees_over_90_day_window,gas_fees_weekly,merged_pull_requests_daily,merged_pull_requests_monthly,merged_pull_requests_weekly,opened_issues_daily,opened_issues_monthly,opened_issues_weekly,opened_pull_requests_daily,opened_pull_requests_monthly,opened_pull_requests_weekly,releases_daily,releases_weekly,repositories_daily,repositories_weekly,stars_daily,stars_weekly,transactions_daily,transactions_monthly,transactions_over_180_day_window,transactions_weekly
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-02-27,,,,,,,,,,,,,,,,,,,,,,,,,5.617902620000002e-05,,,,,,,,,,,,,,,,,,,240.0
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-03-01,,,,,,,,,,,,,,,,,,,,,0.0003155039050179,,,,,,,,,,,,,,,,,,,,,1181.0,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-03-03,,,,,,,,,,,,,,,,,,,,4.0754980000000006e-06,,,,,,,,,,,,,,,,,,,,,28.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-03-04,,,,,,,,,,,,,,,,,,,,3.4763250000000017e-05,,,,,,,,,,,,,,,,,,,,,137.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-03-05,,,,,,,,,,,,,,,,,,,,1.7340278199999997e-05,,,,,,,,,,,,,,,,,,,,,75.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-03-06,,,,,,,,,,,,,,,,,,,,1.0422854999999998e-05,,,,,8.4167634008705e-05,,,,,,,,,,,,,,,,32.0,,,307.0
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-03-07,,,,,,,,,,,,,,,,,,,,8.042219000000001e-06,,,,,,,,,,,,,,,,,,,,,32.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-03-08,,,,,,,,,,,,,,,,,,,,1.6737285e-05,,,,,,,,,,,,,,,,,,,,,73.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-03-09,,,,,,,,,,,,,,,,,,,,2.0864974008705e-05,,,,,,,,,,,,,,,,,,,,,82.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-03-10,,,,,,,,,,,,,,,,,,,,1.2511029e-05,,,,,,,,,,,,,,,,,,,,,39.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-03-11,,,,,,,,,,,,,,,,,,,,1.2574418e-05,,,,,,,,,,,,,,,,,,,,,40.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-03-12,,,,,,,,,,,,,,,,,,,,3.014854e-06,,,,,,,,,,,,,,,,,,,,,9.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-03-13,,,,,,,,,,,,,,,,,,,,3.437776129325e-06,,,,,5.2210871699774e-05,,,,,,,,,,,,,,,,12.0,,,198.0
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-03-14,,,,,,,,,,,,,,,,,,,,8.102144976467e-06,,,,,,,,,,,,,,,,,,,,,30.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-03-15,,,,,,,,,,,,,,,,,,,,6.2113235939820005e-06,,,,,,,,,,,,,,,,,,,,,32.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-03-16,,,,,,,,,,,,,,,,,,,,3.133106e-06,,,,,,,,,,,,,,,,,,,,,14.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-03-17,,,,,,,,,,,,,,,,,,,,7.191215e-06,,,,,,,,,,,,,,,,,,,,,28.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-03-18,,,,,,,,,,,,,,,,,,,,1.0956056e-05,,,,,,,,,,,,,,,,,,,,,30.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-03-19,,,,,,,,,,,,,,,,,,,,1.317925e-05,,,,,,,,,,,,,,,,,,,,,52.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-03-20,,,,,,,,,,,,,,,,,,,,7.428125e-06,,,,,6.945718362200902e-05,,,,,,,,,,,,,,,,23.0,,,262.0
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-03-21,,,,,,,,,,,,,,,,,,,,8.246342000000001e-06,,,,,,,,,,,,,,,,,,,,,36.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-03-22,,,,,,,,,,,,,,,,,,,,6.773254000000001e-06,,,,,,,,,,,,,,,,,,,,,29.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-03-23,,,,,,,,,,,,,,,,,,,,1.2726093e-05,,,,,,,,,,,,,,,,,,,,,51.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-03-24,,,,,,,,,,,,,,,,,,,,1.6196964622008998e-05,,,,,,,,,,,,,,,,,,,,,69.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-03-25,,,,,,,,,,,,,,,,,,,,1.31724848e-05,,,,,,,,,,,,,,,,,,,,,43.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-03-26,,,,,,,,,,,,,,,,,,,,4.9139202e-06,,,,,,,,,,,,,,,,,,,,,11.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-03-27,,,,,,,,,,,,,,,,,,,,1.57591878e-05,,,,,6.292476848749999e-05,,,,,,,,,,,,,,,,47.0,,,219.0
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-03-28,,,,,,,,,,,,,,,,,,,,1.1009752e-05,,,,,,,,,,,,,,,,,,,,,28.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-03-29,,,,,,,,,,,,,,,,,,,,7.718035e-06,,,,,,,,,,,,,,,,,,,,,30.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-03-30,,,,,,,,,,,,,,,,,,,,7.313745e-06,,,,,,,,,,,,,,,,,,,,,24.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-03-31,,,,,,,,,,,,,,,,,,,,1.16884696875e-05,,,,,,,,,,,,,,,,,,,,,45.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-01,,,,,,,,,,,,,,,,,,,,2.8752119999999995e-06,0.0095406370144782,,,,,,,,,,,,,,,,,,,,14.0,15247.0,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-02,,,,,,,,,,,,,,,,,,,,6.560367e-06,,,,,,,,,,,,,,,,,,,,,31.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-03,,,,,,,,,,,,,,,,,,,,0.0002318684534667,,,,,0.0040781929388666,,,,,,,,,,,,,,,,531.0,,,3480.0
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-04,,,,,,,,,,,,,,,,,,,,0.0006111056450944,,,,,,,,,,,,,,,,,,,,,931.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-05,,,,,,,,,,,,,,,,,,,,0.0002628578956555,,,,,,,,,,,,,,,,,,,,,376.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-06,,,,,,,,,,,,,,,,,,,,0.000266816881,,,,,,,,,,,,,,,,,,,,,484.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-07,,,,,,,,,,,,,,,,,,,,0.0022803570724,,,,,,,,,,,,,,,,,,,,,419.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-08,,,,,,,,,,,,,,,,,,,,0.00026575202105,,,,,,,,,,,,,,,,,,,,,402.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-09,,,,,,,,,,,,,,,,,,,,0.0001594349702,,,,,,,,,,,,,,,,,,,,,337.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-10,,,,,,,,,,,,,,,,,,,,0.0001678671315375,,,,,0.0029247869495712,,,,,,,,,,,,,,,,247.0,,,6427.0
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-11,,,,,,,,,,,,,,,,,,,,0.0001795183802625,,,,,,,,,,,,,,,,,,,,,336.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-12,,,,,,,,,,,,,,,,,,,,0.0001972698327,,,,,,,,,,,,,,,,,,,,,342.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-13,,,,,,,,,,,,,,,,,,,,0.0002015652904,,,,,,,,,,,,,,,,,,,,,388.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-14,,,,,,,,,,,,,,,,,,,,0.0002554295890573,,,,,,,,,,,,,,,,,,,,,489.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-15,,,,,,,,,,,,,,,,,,,,0.0005892952098562,,,,,,,,,,,,,,,,,,,,,1436.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-16,,,,,,,,,,,,,,,,,,,,0.0013338415157575,,,,,,,,,,,,,,,,,,,,,3189.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-17,,,,,,,,,,,,,,,,,,,,9.985122513567e-05,,,,,0.0013580610315172,,,,,,,,,,,,,,,,184.0,,,2763.0
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-18,,,,,,,,,,,,,,,,,,,,0.0001046319635976,,,,,,,,,,,,,,,,,,,,,230.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-19,,,,,,,,,,,,,,,,,,,,0.0001548139160838,,,,,,,,,,,,,,,,,,,,,294.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-20,,,,,,,,,,,,,,,,,,,,0.0007366280324,,,,,,,,,,,,,,,,,,,,,1541.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-21,,,,,,,,,,,,,,,,,,,,0.00010639079235,,,,,,,,,,,,,,,,,,,,,188.0,,,
