,Minimum L1 Distance
Bribery_cumulative_arithmetic_mean,5.578038031472943e-13
Manipulation_cumulative_arithmetic_mean,6.321332346459485e-13
Deletion_cumulative_arithmetic_mean,73.69665832269169
Cloning_cumulative_arithmetic_mean,65.4407013568715
Bribery_cumulative_geometric_mean,5.578038031472943e-13
Manipulation_cumulative_geometric_mean,6.064740723510376e-13
Deletion_cumulative_geometric_mean,82.61913330528922
Cloning_cumulative_geometric_mean,63.39004862728526
Bribery_fractional_arithmetic_mean,5.578038031472943e-13
Manipulation_fractional_arithmetic_mean,4.2703726097446125e-13
Deletion_fractional_arithmetic_mean,68.02961737718809
Cloning_fractional_arithmetic_mean,62.035875369672446
Bribery_fractional_geometric_mean,5.578038031472943e-13
Manipulation_fractional_geometric_mean,7.44642621497465e-13
Deletion_fractional_geometric_mean,73.19993585348715
Cloning_fractional_geometric_mean,63.424525562641705
Bribery_approval_arithmetic_mean,5.578038031472943e-13
Manipulation_approval_arithmetic_mean,0.0
Deletion_approval_arithmetic_mean,63.424525562641705
Cloning_approval_arithmetic_mean,66.23146815187798
Bribery_approval_geometric_mean,5.578038031472943e-13
Manipulation_approval_geometric_mean,0.0
Deletion_approval_geometric_mean,73.19993585348715
Cloning_approval_geometric_mean,72.3106784216261
